"統計期","每戶平均可支配所得[元]","房價所得比[第4季][倍]","每人每月經常性薪資/總計[元]","每人每月經常性薪資/男[元]","每人每月經常性薪資/女[元]","經常性薪資中位數/總計[萬元]","經常性薪資中位數/男[萬元]","經常性薪資中位數/女[萬元]","每月基本工資[元]","每小時基本工資[元]","經濟成長率[%]"
"99年",1298640,12.89,36233,39330,32526,-,-,-,17280,95,10.25
"100年",1251519,13.72,36735,39843,33036,-,-,-,17880,98,3.67
"101年",1278278,14.80,37193,40228,33597,3.7,4.0,3.3,18780,103,2.22
"102年",1279195,15.01,37552,40601,33958,3.7,4.0,3.4,19047,109,2.48
"103年",1292604,15.73,38218,41153,34799,3.8,4.1,3.5,19273,115,4.72
"104年",1314031,15.75,38712,41589,35390,3.9,4.1,3.6,20008,120,1.47
"105年",1320834,15.18,39213,41962,36050,3.9,4.1,3.6,20008,126,2.17
"106年",1344538,14.99,39928,42654,36801,4.0,4.2,3.7,21009,133,3.31
"107年",1379305,13.86,40959,43673,37849,4.1,4.3,3.8,22000,140,2.79
"108年",1422400,13.94,41776,44586,38630,4.1,4.4,3.9,23100,150,3.06
"109年",1422856,15.78,42394,45151,39290,4.2,4.4,3.9,23800,158,3.39
"110年",1430572,16.29,43209,46056,40030,4.2,4.6,3.9,24000,160,6.53
"111年",-,15.77,44416,47329,41185,...,...,...,25250,168,2.35


"資料來源：臺北市家庭收支訪問調查報告、內政部營建署、行政院主計總處、勞動部"
"說明："
"1.經常性薪資及基本工資係全國資料。"
"2.基本工資係年底數。"
